,country,f_0-14,f_0-4,f_15-24,f_15plus,f_18plus,f_25-34,f_35-44,f_45-54,f_5-14,f_55-64,f_65plus,f_all,m_0-14,m_0-4,m_15-24,m_15plus,m_18plus,m_25-34,m_35-44,m_45-54,m_5-14,m_55-64,m_65plus,m_all
193,TO,1,1,1,3,0,0,1,0,0,0,0,4,0,0,1,8,0,0,0,1,0,1,3,7
194,TR,400,170,940,5780,360,930,780,680,230,760,1100,5500,430,200,1100,9300,420,1100,950,1100,230,1200,1400,7300
195,TT,1,0,15,67,3,10,10,9,1,9,9,64,1,1,13,224,9,33,43,29,0,37,33,190
196,TV,1,0,2,13,1,6,0,1,1,2,0,13,1,0,6,27,2,1,2,1,1,6,4,22
197,TZ,10000,5500,3700,41960,1500,8100,8900,7000,4900,5100,5900,49000,11000,6600,6900,97300,2400,17000,18000,12000,4800,8900,9500,84000
198,UA,620,260,930,10150,300,2100,2500,1600,360,1100,1200,10000,660,310,1300,28300,660,3800,6400,5000,350,3100,1600,22000
199,UG,5600,2700,3900,20000,,5800,5000,2500,2900,1500,1200,26000,6000,3200,13000,58000,,15000,14000,8100,2800,4800,3200,64000
200,US,190,95,340,3770,96,530,460,370,98,480,750,3100,170,93,430,6160,160,710,630,680,76,860,1300,4800
201,UY,34,7,64,372,14,67,48,51,28,40,46,350,36,17,120,949,31,160,140,120,18,75,120,760
202,UZ,1600,480,1200,9132,500,1800,1300,1200,1100,1400,1700,10000,1600,580,1400,13400,580,1900,1800,1800,1100,1800,1600,12000
203,VC,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,7,0,2,1,2,0,1,0,6
204,VE,410,180,830,4680,200,980,790,600,230,550,590,4700,440,220,1800,9600,390,2500,1300,930,220,830,790,8600
205,VG,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,1
206,VN,3900,1900,4700,46200,1100,8100,6900,6800,2000,8000,11000,49000,4300,2300,8100,138000,2900,17000,21000,23000,2000,24000,24000,123000
207,VU,6,3,16,49,3,4,11,6,3,7,4,54,6,3,6,67,4,11,10,20,3,10,1,64
208,WF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
209,WS,0,0,2,7,0,4,0,0,0,2,0,7,0,0,1,5,0,1,1,0,0,2,0,5
210,YE,880,360,1100,5824,310,1200,1000,870,520,730,730,6500,940,440,1300,8210,460,1500,1400,1000,510,930,940,8000
211,ZA,14000,7600,15000,124300,3900,28000,26000,20000,6800,15000,15000,133000,16000,9100,22000,220000,4800,43000,44000,32000,6600,21000,17000,195000
212,ZM,2600,1300,3400,20970,710,4800,4900,2900,1400,1800,1700,22000,2900,1500,5900,45000,1100,8400,8800,5300,1300,2800,2400,37000
213,ZW,1700,840,1400,10594,420,2500,2700,1500,860,1100,1200,12000,1900,1000,2200,20400,520,3500,4100,2200,840,1400,1200,17000
